term,rank
til pm book,3.175256440724099
frustrating like give,3.169588795763152
must frustrating like,3.169588795763152
please delete qrt,3.162177619016762
private info publicly,3.158070022135066
ready private bo,3.156007491317278
private info let,3.154704700104232
leak info private,3.1418611136878214
til pm com,3.137381850352833
pm com info,3.137381850352833
ready info dm,3.1372533141273564
post private information,3.133502951956123
also share email,3.1234820726784536
assist order protect,3.121873840739691
trump private citizen,3.1200223478890297
help please send,3.1114520304536573
private info probably,3.1075515331749517
email private info,3.104695882869
contact info get,3.104101866368148
new privacy policy,3.1013397957173487
hear without reveal,3.094860032887648
private message restaurant,3.088005066275883
message restaurant location,3.088005066275883
people get info,3.0878095285539895
full name email,3.083931386432111
private info business,3.077368908675962
message ready meg,3.0744729050123634
email address phone,3.073478088918076
placement learn link,3.069701469395093
private placement learn,3.069701469395093
private message give,3.066135071246211
share much info,3.0637557818992036
private showing today,3.0629278316570625
private message number,3.0616801963016385
private company access,3.0612987007339574
super private info,3.049494452355596
private sector info,3.045206484515564
contact info phone,3.0438518839921334
bunch private info,3.032518824664174
info like private,3.0313440539163437
publicly available info,3.0258978453503507
private info right,3.0195986931827425
private confidential info,3.0194673243491805
private info may,3.01084918903321
hateful post private,3.0064000285663663
abusive hateful post,3.0064000285663663
private sale round,3.00395931868412
thank info much,3.0
private company know,3.0
available dm info,3.0
get much info,3.0
private parking space,3.0
private tech company,3.0
info private tour,3.0
info please visit,3.0
info share private,2.9963330183152763
turn private info,2.9962375025160903
private info access,2.9952406637363493
virtual tour info,2.99242253536367
include contact info,2.9866684706620137
info private conversation,2.9865955446835297
delete tweet security,2.9862635101404758
info without permission,2.982523908755238
private info put,2.9784414671861876
send info via,2.9769646946009667
password private info,2.9737035017455824
hear would like,2.9733166410561793
contact sorry hear,2.9733166410561793
thank contact sorry,2.9733166410561793
drop private info,2.9701290443444957
private show info,2.968958204514905
store private info,2.9617976179446694
hold private info,2.9571540644128813
public private info,2.9527486469367332
sell personal info,2.9471253807629045
exclude private bo,2.9428732916779237
private group info,2.931330995252845
comenten template yuta,2.9272047690047183
private info social,2.926987300297961
reach understand trouble,2.922377522368301
server must frustrating,2.922377522368301
private info picture,2.9204381651537337
mental health info,2.9169979999563256
tweet back need,2.9130081758087085
good source info,2.911619511221584
private company whatever,2.9072365284035
info woman affair,2.906606193776205
tweet please delete,2.9017776724607716
private info accessible,2.901069875353911
message give info,2.896739099036323
private info literally,2.8938835163845478
info full name,2.8892285789074212
vez demand take,2.8860898645344673
colleague friend family,2.866180154877462
info bet win,2.8589468489813687
could share detail,2.8476866468100805
private info deserve,2.8435130746839956
info private reason,2.8222348618939757
never share private,2.8213941398630933
private info weird,2.810790123933326
info million date,2.800036486514717
million date app,2.800036486514717
date app user,2.800036486514717
kind private info,2.796599279978408
avail open private,2.7942728985286416
call today info,2.7807871894658907
control flow info,2.772788093979922
avail ready private,2.7701649940186512
take legal action,2.76096416072094
government private sector,2.7494065502818708
info please dm,2.748139487236681
opening everyday mto,2.7441236897705323
info mto week,2.7441236897705323
mto current deal,2.7441236897705323
server master opening,2.7441236897705323
access mto current,2.7441236897705323
mto info mto,2.7441236897705323
mto week access,2.7441236897705323
everyday mto info,2.7441236897705323
private server master,2.7441236897705323
join private server,2.7441236897705323
also join private,2.7441236897705323
master opening everyday,2.7441236897705323
week access mto,2.7441236897705323
sorry private info,2.739431224637136
want remain private,2.7377297929460496
ask personal info,2.725551911636785
dream private info,2.715869578261244
idol private info,2.712766494534447
message ready bj,2.7078751542864072
account set private,2.695968343808267
dox private info,2.695968343808267
private conversation want,2.695968343808267
work private school,2.695968343808267
private healthcare provider,2.695968343808267
fuck private info,2.695968343808267
private info collect,2.695225444890943
info private want,2.6926789009361367
apex server must,2.6843224217012036
message detail along,2.6831441543903334
final private sale,2.680586593117032
shh private info,2.680586593117032
risk private info,2.680586593117032
chef info visit,2.680586593117032
private patient info,2.680586593117032
private property right,2.680586593117032
private movie party,2.679586629052838
way get info,2.6781837792195535
harmful private info,2.670558490171756
platform private company,2.658281805742942
speak profiles group,2.6541549478151176
profiles group invite,2.6541549478151176
whatsapp speak profiles,2.6541549478151176
contain info send,2.6523525109372876
data protection act,2.6484379702497884
family private info,2.6478125880675396
share private information,2.6380348717528763
especially private info,2.6340994224540784
like source say,2.6336679733538793
amendment apply private,2.632864748022001
message full name,2.6270467632311485
private info yeah,2.6178248715659507
email address look,2.615293750763426
jakarta open bo,2.614198326212854
base palembang jakarta,2.614198326212854
palembang jakarta open,2.614198326212854
give info private,2.5976400897300347
private info user,2.5886128734061753
would give private,2.5811155739360774
oh would mind,2.5794049279821607
private info provide,2.5786421935285
book private screening,2.5773502691896257
private info remove,2.576620605512379
sorry hear without,2.572566079220152
private info stranger,2.566201775526171
go private block,2.565318459648427
private citizen get,2.565318459648427
private info money,2.565318459648427
dm info private,2.5608203013452155
list private info,2.5569814100216552
private info fb,2.550959556624143
private banking info,2.5490026576209552
personal info get,2.543790315689183
else private info,2.54319286560215
private request sr,2.5410196727295604
private info take,2.5366701693173535
lt private book,2.535456847127711
private book info,2.535456847127711
info rr via,2.535456847127711
wa cek bio,2.535456847127711
book info rr,2.535456847127711
try get private,2.5344606136839802
private info government,2.5310583221711664
private info save,2.5306140618813675
private info artist,2.5252326695627856
hand private info,2.519887300339714
get info need,2.5190842188901654
link bio info,2.514264563643644
private info protect,2.5123074120076563
share someone private,2.510413124291731
private info google,2.5072978143049633
private info lmaoo,2.5043400269654397
private info understand,2.501653842361938
without give private,2.4949097417218757
account information public,2.4887872494673555
information public tweet,2.4887872494673555
public tweet please,2.4887872494673555
personal info like,2.486617357602973
public social medium,2.4858905515231675
include private info,2.484587411767901
private info hide,2.483752198892329
private info face,2.482279226990153
leak personal info,2.4812473951777028
private info least,2.480961084939884
well share info,2.4776911101585477
private base bogor,2.475596870753274
bogor jadwal expo,2.475596870753274
bo prioritas private,2.475596870753274
jadwal expo jakpus,2.475596870753274
prioritas private base,2.475596870753274
base bogor jadwal,2.475596870753274
open bo prioritas,2.475596870753274
post people private,2.472754392977634
private info sign,2.472713809368065
private info find,2.4704002378102023
provide private info,2.469553639871739
try keep info,2.4667087333823385
detail query well,2.466448159913127
share detail query,2.466448159913127
private info wrong,2.465169049759403
league pre game,2.4623848114916687
private info app,2.4605795956241456
info send dm,2.4566683828439904
number contact number,2.454351639717933
could send private,2.4526982741579992
please let know,2.450860438064463
censor private info,2.450831877433794
